year,secondary_schools,secondary_pupils,base_year_census,index_factor,predicted
1966,NA,283592,316594,0.8957592373828942,FALSE
1967,665,288054,316594,0.9098529978458214,FALSE
1968,640,295625,316594,0.9337669065111783,FALSE
1969,616,307185,316594,0.9702805485890447,FALSE
1970,441,317027,316594,1.0013676822681414,FALSE
1971,541,327514,316594,1.0344921255614445,FALSE
1972,516,337535,316594,1.0661446521412281,FALSE
1973,492,351543,316594,1.1103905948944073,FALSE
1974,478,384786,316594,1.2153925848247282,FALSE
1975,467,411642,316594,1.3002204716450723,FALSE
1976,464,416347,316594,1.3150817766603284,FALSE
1977,458,419555,316594,1.325214628198892,FALSE
1978,466,422263,316594,1.3337681699590012,FALSE
1979,468,421966,316594,1.3328300599505991,FALSE
1980,467,419373,316594,1.3246397594395345,FALSE
1981,441,415763,316594,1.3132371428390937,FALSE
1982,463,410048,316594,1.2951856320713595,FALSE
1983,464,401423,316594,1.2679425383930207,FALSE
1984,459,387195,316594,1.2230016993373216,FALSE
1985,441,360642,316594,1.1391308742427209,FALSE
1986,441,344934,316594,1.0895152782427968,FALSE
1987,439,327610,316594,1.0347953530389078,FALSE
1988,435,312118,316594,0.985862018863276,FALSE
1989,430,299004,316594,0.9444398819939733,FALSE
1990,425,294101,316594,0.9289531703064493,FALSE
1991,420,296991,316594,0.9380815808259159,FALSE
1992,414,303624,316594,0.9590327043468923,FALSE
1993,410,311833,316594,0.9849618122895569,FALSE
1994,407,315430,316594,0.9963233668357581,FALSE
1995,406,316957,316594,1.0011465788991578,FALSE
1996,403,316594,316594,1,FALSE
1997,401,314889,316594,0.9946145536554705,FALSE
1998,392,313204,316594,0.989292279702079,FALSE
1999,389,315356,316594,0.9960896289885468,FALSE
2000,389,317704,316594,1.0035060677081689,FALSE
2001,387,316359,316594,0.9992577244041264,FALSE
2002,386,316903,316594,1.0009760134430847,FALSE
2003,386,318427,316594,1.0057897496478139,FALSE
2004,386,318065,316594,1.0046463293682129,FALSE
2005,385,315840,316594,0.9976184008540907,FALSE
2006,381,312979,316594,0.9885815903017745,FALSE
2007,378,309560,316594,0.9777822700367031,FALSE
2008,376,303978,316594,0.960150855670038,FALSE
2009,374,302921,316594,0.9568121947983853,FALSE
2010,372,301007,316594,0.9507665969664618,FALSE
2011,367,297109,316594,0.9384542979336311,FALSE
2012,365,293562,316594,0.9272506743652754,FALSE
2013,364,289164,316594,0.9133590655539903,FALSE
2014,362,284762,316594,0.8994548222644775,FALSE
2015,361,281939,316594,0.8905380392553238,FALSE
2016,359,280983,316594,0.887518398958919,FALSE
2017,360,281993,316594,0.8907086047113969,FALSE
2018,357,286152,316594,0.9038453034485808,FALSE
2019,358,292063,316594,0.922515903649469,FALSE
2020,357,300954,316594,0.9505991901299456,FALSE
2021,NA,314140,316594,0.9922487476073457,TRUE
