year,roll,base_year_roll,index_factor
1996,335044,335044,1
1997,333147,335044,0.994338057091009
1998,331144,335044,0.9883597378254796
1999,333074,335044,0.9941201752605628
2000,335241,335044,1.0005879824739436
2001,333998,335044,0.9968780219911415
2002,334457,335044,0.9982479913086042
2003,336032,335044,1.0029488664175452
2004,335454,335044,1.001223719869629
2005,333438,335044,0.9952065997301847
2006,330819,335044,0.9873897159776029
2007,327639,335044,0.9778984252814555
2008,322107,335044,0.9613871610892898
2009,321007,335044,0.9581040102195533
2010,301007,335044,0.8984103580425258
2011,297109,335044,0.886776065233223
2012,293562,335044,0.8761893960196273
2013,289164,335044,0.8630627619058989
2014,284762,335044,0.8499241890617352
2015,281939,335044,0.8414984300569478
2016,279379,335044,0.8338576425782882
2017,281993,335044,0.8416596029178257
2018,286152,335044,0.8540728978880386
