Subject,all-Entries,all-Pass,male-percentage,male-percentagePass,female-percentage,female-percentagePass,NotKnown-percentage,NotKnown-percentagePass,NA-percentage,NA-percentagePass,NumberOfCentres
Administration and IT,539,486,58,89,42,91,0,-,0,-,
Applications of Mathematics*,"6,406","5,855",59,91,41,92,0,-,0,-,
Art and Design,638,511,59,83,41,76,0,-,0,-,
Biology,552,489,55,91,45,86,0,-,0,-,
Business,273,251,61,95,39,88,0,-,0,-,
Chemistry,357,319,60,90,40,89,0,-,0,-,
Chinese Languages,9,9,44,***,56,100,0,-,0,-,
Classical Studies,32,27,53,82,47,87,0,-,0,-,
Computing Science,361,331,73,90,27,95,0,-,0,-,
Design and Technology,144,120,83,82,17,88,0,-,0,-,
Drama,253,225,62,88,38,90,0,-,0,-,
English,"2,018","1,797",67,89,33,90,0,***,0,-,
English for Speakers of Other Languages,323,315,38,99,62,97,0,-,0,-,
Environmental Science,186,167,60,92,40,86,0,-,0,-,
Fashion and Textile Technology,8,5,0,-,100,63,0,-,0,-,
French,408,372,59,94,41,87,0,-,0,-,
Gaelic (Learners),62,51,45,93,55,74,0,-,0,-,
Gàidhlig,0,-,-,-,-,-,0,-,0,-,
Geography,587,534,63,90,37,92,0,-,0,-,
German,144,132,61,91,39,93,0,-,0,-,
Health and Food Technology,54,34,61,55,39,76,0,-,0,-,
History,944,844,61,89,39,91,0,-,0,-,
Hospitality: Practical Cookery**,625,546,58,88,42,86,0,-,0,-,
Italian,25,24,72,94,28,100,0,-,0,-,
Latin,1,***,100,***,0,-,0,-,0,-,
Media,364,332,64,91,36,92,0,-,0,-,
Modern Studies,851,779,61,91,39,92,0,-,0,-,
Music,376,270,63,70,37,75,0,-,0,-,
Music Technology,105,64,85,61,15,63,0,-,0,-,
People and Society,408,378,55,93,45,92,0,-,0,-,
Physical Education,573,467,76,81,24,84,0,-,0,-,
Physics,272,236,71,89,29,81,0,-,0,-,
Practical Craft Skills,427,377,82,88,18,91,0,-,0,-,
"Religious, Moral and Philosophical Studies",502,427,59,85,41,86,0,-,0,-,
Science,154,120,61,81,39,73,0,-,0,-,
Spanish,295,253,48,85,52,86,0,-,0,-,
Urdu,9,9,67,100,33,***,,,,,
