LocalAuthority,age--24,age-25-29,age-30-34,age-35-39,age-40-44,age-45-49,age-50-54,age-55 to 59,age-60-64,age-65
Aberdeen City,48,118,94,90,95,80,74,145,,
Aberdeenshire,62,135,135,132,148,148,156,289,,
Angus,28,66,77,60,61,62,78,123,,
Argyll and Bute,18,49,66,46,47,62,70,81,,
City of Edinburgh,18,33,36,26,25,29,24,39,,
,,,,,,,,,,
Clackmannanshire,38,102,112,72,84,85,136,120,,
Dumfries and Galloway,24,65,91,67,86,86,104,134,,
Dundee City,33,76,66,82,59,57,62,110,,
East Ayrshire,31,67,87,78,70,68,97,114,,
East Dunbartonshire,28,57,75,67,59,51,47,71,,
,,,,,,,,,,
East Lothian,40,100,106,74,76,61,66,121,,
East Renfrewshire,52,213,233,187,187,155,162,240,,
Falkirk,2,11,19,13,23,15,33,44,,
Fife,56,112,139,86,93,72,69,113,,
Glasgow City,70,191,233,203,221,193,216,295,,
,,,,,,,,,,
Highland,80,231,281,246,229,222,284,441,,
Inverclyde,56,136,128,129,137,164,172,293,,
Midlothian,13,36,38,45,37,39,54,97,,
Moray,34,68,70,59,46,31,48,56,,
Na h-Eileanan Siar,15,51,59,47,42,51,60,115,,
,,,,,,,,,,
North Ayrshire,20,82,102,86,77,63,95,106,,
North Lanarkshire,79,178,242,193,185,178,245,314,,
Orkney Islands,5,11,14,15,12,19,25,30,,
Perth and Kinross,32,87,58,64,81,87,91,130,,
Renfrewshire,46,106,94,111,75,66,105,154,,
,,,,,,,,,,
Scottish Borders,16,52,46,61,72,71,67,94,,
Shetland Islands,3,10,14,18,16,28,37,37,,
South Ayrshire,19,55,85,75,62,65,73,75,,
South Lanarkshire,87,177,221,168,144,154,217,303,,
Stirling,52,71,80,61,58,52,47,63,,
,,,,,,,,,,
West Dunbartonshire,22,39,75,49,49,48,52,90,,
West Lothian,57,147,134,116,112,82,85,100,,
