Subject,age--24,age-25-29,age-30-34,age-35-39,age-40-44,age-45-49,age-50-54,age-55 to 59,age-60-64,age-65
English,80,322,385,432,319,303,239,254,140,
French,17,87,92,91,93,93,113,64,38,
German,0,7,10,10,8,19,13,15,8,
Spanish,*,24,16,21,18,7,20,7,*,
Gaelic,*,11,11,10,*,7,8,*,*,
Italian,0,*,*,0,0,*,*,0,0,
English as an Additional Language,0,0,0,0,*,*,*,*,*,
Community Languages,0,0,0,*,0,0,*,*,*,
Other Modern Languages,15,61,59,46,52,54,34,31,25,
Classical Studies ,0,*,0,*,0,0,*,0,*,
,,,,,,,,,,
Mathematics,103,294,347,347,256,314,311,283,109,
Biology,67,239,221,180,149,101,105,90,61,
Chemistry,49,149,129,117,122,139,105,93,44,
General Science,7,17,15,23,22,28,14,8,11,
Physics,32,91,92,115,89,91,128,120,47,
,,,,,,,,,,
Economics ,0,0,0,0,*,*,0,0,0,
Geography,55,155,141,109,90,68,47,53,38,
History,67,200,169,125,92,89,69,54,33,
Religious Education,39,106,86,72,81,77,66,59,31,
Modern Studies,43,122,98,109,73,60,33,32,25,
Media Studies,*,*,*,0,*,*,*,*,*,
Business Studies,45,109,106,96,101,115,111,134,44,
Computing Studies,12,57,63,86,62,77,98,97,43,
Home Economics,39,122,72,77,68,86,102,130,61,
Technical Education,62,185,192,158,119,126,136,172,76,
PSE/Guidance,0,16,71,94,106,84,50,53,25,
,,,,,,,,,,
Art ,23,150,148,169,158,154,132,97,62,
Music,76,179,143,116,129,92,80,63,34,
Physical Education,262,451,352,320,153,108,64,81,53,
Speech and Drama ,20,73,75,78,48,28,41,33,13,
,,,,,,,,,,
Learning support ,*,*,67,107,126,148,128,132,94,
,,,,,,,,,,
Additional support needs-general,*,*,7,21,13,20,25,19,22,
Additional support needs-behavioural support,*,*,5,10,6,16,10,13,13,
Additional support needs-learning difficulties ,0,7,11,14,26,24,35,24,27,
Additional support needs-physical disabilities,0,0,*,*,0,*,*,*,0,
Hearing impairment,0,*,*,*,*,*,*,*,7,
Visual impairment,0,0,*,0,0,*,0,*,*,
,,,,,,,,,,
Other,12,29,23,19,27,25,32,29,31,
